Address,Price,Beds,Baths,Space
"26 Laidlaw St, Toronto, Ontario","$799,000 CAD",2 BedsBds,2 BathsBa,"1,000 SqftSqft"
"Bayview at the Village - From Mid $400s - BAYVIEW AND SHEPPARD AVE E, Toronto, Ontario M2K1B5","$695,000 CAD",,,
"5 Soudan Ave, Toronto, Ontario","$799,900 CAD",2 BedsBds,2 BathsBa,700 SqftSqft
"500 Sherbourne St, Toronto, Ontario","$799,900 CAD",1 BedBd,2 BathsBa,"1,000 SqftSqft"
"651 Willard Avenue, Toronto, Ontario M6S 3S1","$999,000 CAD",2 BedsBds,2 BathsBa,
"411 Symington Ave, Toronto, Ontario","$1,399,000 CAD",3 BedsBds,3 BathsBa,
"20 Venice Dr, Toronto, Ontario","$1,148,800 CAD",,,
"53 Mcintosh St, Toronto, Ontario","$1,399,000 CAD",4 BedsBds,4 BathsBa,"2,000 SqftSqft"
"8 Mercer St, Toronto, Ontario","$619,000 CAD",1 BedBd,1 BathBa,500 SqftSqft
"No address available, Toronto, Ontario M5A1B4","$629,000 CAD",1 BedBd,1 BathBa,
"51 Hiltz Ave, Toronto, Ontario","$1,350,000 CAD",3 BedsBds,2 BathsBa,"1,100 SqftSqft"
"115 Long Branch Ave, Toronto, Ontario M8W0A9","$799,000 CAD",2 BedsBds,3 BathsBa,
"88 Harbour St, Toronto, Ontario","$700,000 CAD",1 BedBd,1 BathBa,500 SqftSqft
"10 Park Lawn Rd, Toronto, Ontario M8V0H9","$789,000 CAD",2 BedsBds,2 BathsBa,
"McLevin Ave and Tapscott Rd, Toronto, Toronto, Ontario M1B 3G7","$620,000 CAD",2 BedsBds,2 BathsBa,
"100 Coxwell Avenue, Toronto, Ontario M4L 0B5","$950,000 CAD",2 BedsBds,3 BathsBa,"1,482 SqftSqft"
"85 East Liberty St E, Toronto, Ontario M6K3R4","$599,900 CAD",2 BedsBds,2 BathsBa,
"181 Sheppard Ave East, Toronto, Ontario","$908,900 CAD",2 BedsBds,2 BathsBa,
"980 Yonge Street, Toronto, Ontario M4W 3V8","$1,000,000 CAD",2 BedsBds,2 BathsBa,"1,134 SqftSqft"
"4978 Yonge St, Toronto, Ontario","$1,288,800 CAD",3 BedsBds,3 BathsBa,"1,600 SqftSqft"
"500 Queens Quay W, Toronto, Ontario M5V 3K8","$499,000 CAD",1 BedBd,1 BathBa,
"Galleria Condos - Dufferin and Dupont - 1185 Dupont St, M6H 2A4, Toronto, Ontario M6H2A4","$584,900 CAD",1 BedBd,1 BathBa,462 SqftSqft
"500 Sherbourne St, Toronto, Ontario","$888,900 CAD",1 BedBd,2 BathsBa,"1,000 SqftSqft"
"800 Broadview, Toronto, Toronto, Ontario m4k2p7","$550,000 CAD",1 BedBd,1 BathBa,
"111 ST CLAIR AVE W 1806, Toronto, Ontario M4V1N5","$599,000 CAD",1 BedBd,1 BathBa,
"650 King St W, Toronto, Ontario","$985,000 CAD",2 BedsBds,2 BathsBa,800 SqftSqft
"105 Sultana Ave, Toronto, Ontario","$1,199,000 CAD",3 BedsBds,2 BathsBa,
"South Tower at the Buckingham. Grand Central Mimico - 23 Buckingham Street, Toronto, ON, Toronto, Ontario M8Y 2W2","$549,900 CAD",,,
"10 Echo Pt, Toronto, Ontario","$895,000 CAD",3 BedsBds,2 BathsBa,"1,200 SqftSqft"
,"$750,000 CAD",3 BedsBds,2 BathsBa,"1,800 SqftSqft"
"586 Renforth Dr, Toronto, Ontario M9C2N5","$625,000 CAD",3 BedsBds,2 BathsBa,
"361 Front  St W, Toronto, Ontario","$789,888 CAD",2 BedsBds,1 BathBa,700 SqftSqft
"15 Brunel Crt, Toronto, Ontario","$599,000 CAD",1 BedBd,1 BathBa,700 SqftSqft
"JAC Condos (Jarvis/Carlton) - 5% Down Each Year Only - Next to Big Park - Clear Views All Around, Toronto, Ontario M5A2P2","$449,990 CAD",1 BedBd,1 BathBa,335 SqftSqft
"341 Wilson Dr, Toronto, Ontario","$699,900 CAD",3 BedsBds,2 BathsBa,
"ONE DELISLE CONDOS - 1 Delisle Ave, Toronto, Toronto, Ontario M4T 1Z6","$900,000 CAD",,,
"125 Redpath Ave, Toronto, Ontario","$659,000 CAD",1 BedBd,1 BathBa,600 SqftSqft
"65 Bremner Blvd, Toronto, Ontario","$649,009 CAD",1 BedBd,1 BathBa,500 SqftSqft
"8 York St, Toronto, Ontario","$685,000 CAD",1 BedBd,1 BathBa,500 SqftSqft
"231 Fort York Blvd, Toronto, Ontario","$599,900 CAD",1 BedBd,1 BathBa,600 SqftSqft
"111 St Clair Ave W, Toronto, Ontario","$675,000 CAD",1 BedBd,1 BathBa,600 SqftSqft
"63 Moore Park Ave, Toronto, Ontario","$1,599,000 CAD",3 BedsBds,2 BathsBa,
"135 Village Green Sq, Toronto, Ontario","$555,000 CAD",1 BedBd,1 BathBa,600 SqftSqft
"45 Silver Springs Blvd, Toronto, Ontario","$649,000 CAD",3 BedsBds,2 BathsBa,"1,200 SqftSqft"
"1830 Bloor St W, Toronto, Ontario","$688,008 CAD",1 BedBd,2 BathsBa,600 SqftSqft
"Burke Condos - Toronto Preconstruction Condos, Toronto, Ontario M4X1L7","$689,000 CAD",1 BedBd,1 BathBa,500 SqftSqft
"60 Joe Shuster Way, Toronto, Ontario M6K1Y8","$949,900 CAD",3 BedsBds,3 BathsBa,
"15 Stonedale Plwy, Toronto, Ontario","$989,000 CAD",3 BedsBds,3 BathsBa,"1,200 SqftSqft"
"1 Harewood Avenue, Toronto, Ontario M1M 2R1","$1,500,000 CAD",4 BedsBds,2 BathsBa,"2,009 SqftSqft"
"371 Lauder Avenue, Toronto, Ontario","$1,199,899 CAD",1 BedBd,3 BathsBa,
"20 Edgecliff Gfwy, Toronto, Ontario","$588,000 CAD",3 BedsBds,2 BathsBa,"1,200 SqftSqft"
"15 watt Ave, Toronto, Ontario","$1,348,800 CAD",4 BedsBds,4 BathsBa,
"5168 Yonge St, Toronto, Ontario","$599,000 CAD",1 BedBd,1 BathBa,500 SqftSqft
"319 Jarvis St, Toronto, Toronto, Ontario M5B 2C2","$550,000 CAD",1 BedBd,1 BathBa,
"85 East Liberty St, Toronto, Ontario","$879,009 CAD",2 BedsBds,2 BathsBa,900 SqftSqft
"24 Buckingham St, Etobicoke, Toronto, Ontario m8y 2w2","$450,000 CAD",1 BedBd,1 BathBa,
"225 Wellesley St E, Toronto, Ontario","$559,009 CAD",1 BedBd,2 BathsBa,600 SqftSqft
"9 Four Winds Dr, Toronto, Ontario","$589,000 CAD",3 BedsBds,2 BathsBa,"1,200 SqftSqft"
"Canary House Condos - Front and Cherry - 475 Front St E, Toronto, ON, Toronto, Ontario M5A 1H7","$600,000 CAD",1 BedBd,1 BathBa,463 SqftSqft
"350 Alton Towers Circ, Toronto, Ontario","$588,000 CAD",2 BedsBds,2 BathsBa,"1,200 SqftSqft"
"460 Adelaide St E, Toronto, Ontario","$629,009 CAD",1 BedBd,1 BathBa,600 SqftSqft
"33 Bay St, Toronto, Ontario","$729,000 CAD",1 BedBd,1 BathBa,600 SqftSqft
"30 Nelson St, Toronto, Ontario","$1,499,000 CAD",3 BedsBds,2 BathsBa,"1,200 SqftSqft"
"18 Beverley St, Toronto, Ontario","$1,100,000 CAD",2 BedsBds,2 BathsBa,900 SqftSqft
"20 Tubman Ave, Toronto, Ontario","$799,000 CAD",2 BedsBds,2 BathsBa,900 SqftSqft
"2212 Lake Shore Blvd W, Toronto, Ontario","$598,888 CAD",1 BedBd,1 BathBa,600 SqftSqft
"15 Legion Rd, Toronto, Ontario M8V1A5","$659,000 CAD",2 BedsBds,1 BathBa,
"162 Roslin Ave, Toronto, Ontario","$1,549,000 CAD",3 BedsBds,3 BathsBa,
"The Dylan Condos HOT LIST - The Best Price & Value South of The 401, Toronto, Ontario M6B 3J6","$600,900 CAD",,,
"20 john st, toronto, Toronto, Ontario M5V0G5","$625,000 CAD",1 BedBd,1 BathBa,580 SqftSqft
"8 Rosebank Dr, Toronto, Ontario M1B5Z3","$561,900 CAD",2 BedsBds,1 BathBa,
"Nahid Kennedy, Toronto, Ontario M1K2B2","$450,000 CAD",,,
"Oscar Residences, Toronto, Ontario M6G1Y7","$600,000 CAD",,,
"Bauhaus Condos, Toronto, Ontario M5A1K4","$600,000 CAD",,,
"Prime Condos - Insider VIP Access - Dundas and Jarvis, Toronto, Ontario M5B2C2","$600,000 CAD",,,
,"$730,000 CAD",3 BedsBds,3 BathsBa,"1,300 SqftSqft"
"51 Harrison Garden Blvd, Toronto, Ontario M2N7G4","$499,000 CAD",1 BedBd,1 BathBa,595 SqftSqft
"62 La Peer Blvd, Toronto, Ontario M1W2G5","$868,800 CAD",3 BedsBds,2 BathsBa,
"23 Buckingham St, Etobicoke, Toronto, Ontario","$450,000 CAD",,,
"4694 Kingston Rd Condominiums From $498,990, Toronto, Ontario M1E 2P9","$498,990 CAD",1 BedBd,,535 SqftSqft
"56 Forest Manor Rd, Toronto, Ontario M2J1M6","$649,000 CAD",1 BedBd,2 BathsBa,
"386 Yonge St2316 Toronto Ontario M5B0A5, Toronto, Ontario M5B0A5","$949,000 CAD",2 BedsBds,2 BathsBa,
"246-19 Applewood Lane, Etobicoke, Toronto, Ontario M9C0C1","$719,900 CAD",,,
"22 East Haven Dr Toronto Ontario M1N 1N1, Toronto, Ontario M1N 1N1","$479,000 CAD",1 BedBd,1 BathBa,
"30 Chipping Rd Toronto Ontario, Canada, Toronto, Ontario M3B1L1","$3,800,000 CAD",17 BedsBds,,
"New Release - M2M Condos. 2 Bed Plus Den. 759 sqft. Free Locker and Assignment, Toronto, Ontario M2M 3T9","$833,900 CAD",2 BedsBds,2 BathsBa,759 SqftSqft
"246 Logan Ave, Toronto, Ontario M4M0E9","$659,888 CAD",1 BedBd,1 BathBa,
"10 Tapscott Rd # Ph05, Toronto, Ontario M1B3L9","$399,000 CAD",2 BedsBds,2 BathsBa,
"Danny Danforth Condos, Toronto, Ontario M4C1K8","$490,000 CAD",,,
"No address available, Toronto, Ontario M9C0A5","$499,800 CAD",,,
"150 Alton Towers Circ # 1903, Toronto, Ontario M1V4X7","$560,000 CAD",2 BedsBds,2 BathsBa,
"50 Brian Harrison Way # 1209, Toronto, Ontario M1P5J4","$664,900 CAD",3 BedsBds,2 BathsBa,
"LeftBank Condos, Toronto, Ontario M5A3P4","$500,000 CAD",,,
"60 Pelmo Crescent, Toronto, Ontario M9N2X5","$1,100,000 CAD",5 BedsBds,3 BathsBa,
"256 Doris Ave Toronto Ontario M2N6X8, Toronto, Ontario M2N6X8","$499,900 CAD",1 BedBd,1 BathBa,
"Sugar Wharf Condos Insider VIP - 95 Lake Shore Boulevard East, Toronto, Ontario M5E 1Z2","$739,990 CAD",,,
"River & Fifth Condos - Dundas St. East and Hwy DVP - $25K Closing Credit, Toronto, Ontario","$589,990 CAD",,,
"12 Yonge St, Toronto, Ontario M5E 1Z9","$799,990 CAD",2 BedsBds,2 BathsBa,850 SqftSqft
"Prime Condos, Toronto, Ontario M5B 2C2","$484,990 CAD",,,
"3655 Kingston Rd Toronto Ontario M1M1S2, Toronto, Ontario M1M1S2","$594,000 CAD",2 BedsBds,2 BathsBa,
"One Delisle Condos, Toronto, Ontario M4T1Z6","$930,000 CAD",,,
"The Garden Series On Sheppard, Toronto, Ontario M1T3K5","$750,000 CAD",,,
"181 Village Green Sq  Toronto Ontario M1S0K6, Toronto, Ontario M1S0K6","$475,000 CAD",1 BedBd,1 BathBa,
"No address available, Toronto, Ontario M4Y 1E7","$549,900 CAD",1 BedBd,1 BathBa,
"Prime Condos - Near Dundas & Jarvis, Toronto, Toronto, Ontario M5B 1E5","$500,000 CAD",1 BedBd,1 BathBa,
"5 Soudan Ave, Toronto, Ontario M45 0B1","$499,888 CAD",1 BedBd,1 BathBa,
"199 Church Condos, Toronto, Ontario","$649,990 CAD",1 BedBd,1 BathBa,432 SqftSqft
"9 Buttonwood Ave, Toronto, Ontario M6M2H9","$699,999 CAD",3 BedsBds,1 BathBa,
"Empire Queens Quay at 162 Queens Quay East, Toronto, Ontario M5A1B4","$580,990 CAD",,,
"100 Mornelle Crt # 2094, Toronto, Ontario M1E4X2","$449,900 CAD",3 BedsBds,2 BathsBa,
"39 Freeport Dr Toronto Ontario M1C5G1, Toronto, Ontario M1C5G1","$950,000 CAD",3 BedsBds,3 BathsBa,
"2995 Keele St, Toronto, Ontario M3M2G9","$678,000 CAD",2 BedsBds,2 BathsBa,
"2801 Kingston Rd, Toronto, Ontario M1M 1N1","$650,000 CAD",2 BedsBds,2 BathsBa,
"17 Joseph St, Toronto, Ontario M9N2H9","$924,900 CAD",4 BedsBds,2 BathsBa,
"Mila, Toronto, Ontario M1P2S7","$700,000 CAD",,,
"50 Thomas Riley Road Toronto ON, Toronto, Ontario M9B 0C3","$799,000 CAD",2 BedsBds,2 BathsBa,934 SqftSqft
